DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 14.4631 14.4806 14.4683 14.4835 14.3591 14.3575 
100 14.4511 14.4626 14.4573 14.4396 14.3294 14.3267 
150 14.4526 14.4729 14.4558 14.4679 14.3316 14.3159 
200 14.4653 14.4973 14.4681 14.525 14.3901 14.3816 
250 14.4556 14.4672 14.4581 14.4284 14.3093 14.2978 
300 14.4659 14.4318 14.4678 14.4109 14.2988 14.286 
350 14.4503 14.4441 14.4477 14.4394 14.3195 14.3041 
400 14.4578 14.4712 14.4588 14.4961 14.3587 14.3439 
450 14.4635 14.4503 14.4652 14.4673 14.3358 14.3144 
500 14.4613 14.4768 14.4638 14.4749 14.3489 14.32 
