DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 8.35332 10.9583 9.80399 8.85281 9.94418 10.3019 
0.1 6.99627 10.2302 8.09692 7.73042 8.48854 8.83831 
0.15 6.53112 9.99477 7.5499 7.37343 8.08096 8.38954 
0.2 6.01279 9.56492 6.74601 6.81889 7.50042 7.68921 
0.25 5.74412 9.50732 6.35947 6.60292 7.33009 7.56278 
0.3 5.44015 9.30685 5.84808 6.31854 7.03653 7.22062 
0.35 5.28057 9.12625 5.56325 6.05541 6.81847 6.93127 
0.4 5.05179 8.95842 5.14806 5.8473 6.64182 6.76866 
0.45 4.92797 8.85628 4.91077 5.2863 6.08391 6.15403 
0.5 4.72899 8.74501 4.30192 4.76651 5.58208 5.65364 
