DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 8.99435 13.0098 11.0735 9.49785 10.2228 13.102 
0.2 8.9542 13.0063 10.7682 9.57175 10.0901 11.7326 
0.3 8.73809 13.0063 10.2819 9.64746 10.0715 10.7356 
0.4 9.01402 13.0051 9.82496 9.87805 10.5971 11.4939 
0.5 9.04166 13.0051 10.0821 9.60363 10.1357 10.5971 
0.6 8.98014 13.0046 10.3208 10.0954 9.98868 11.4939 
0.7 9.21189 13.0044 10.1357 9.96434 10.1408 10.4878 
0.8 9.02791 13.0044 9.64205 10.2854 10.6821 10.6996 
0.9 9.10591 13.0044 8.91588 10.3197 9.85798 10.0182 
1 9.27845 13.0044 7.64386 9.90388 9.33762 10.4553 
