DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 15.0786 15.0742 15.079 15.0784 15.0677 15.0634 
0.1 15.0847 15.0745 15.0904 15.0758 15.06 15.0547 
0.15 15.0816 15.0743 15.0847 15.0743 15.0609 15.0551 
0.2 15.0742 15.0609 15.0782 15.0566 15.0461 15.0429 
0.25 15.0792 15.0662 15.0821 15.0631 15.0526 15.0492 
0.3 15.0807 15.0677 15.0841 15.0601 15.0509 15.0485 
0.35 15.0801 15.0675 15.0837 15.057 15.0523 15.0489 
0.4 15.0759 15.065 15.0814 15.0533 15.0481 15.0459 
0.45 15.079 15.0671 15.0828 15.0477 15.0456 15.0443 
0.5 15.0772 15.0667 15.0854 15.044 15.0439 15.0437 
