DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 11.3399 13.0126 13.2278 12.0161 14.6533 14.8785 
0.1 10.0782 13.0107 11.8517 10.865 12.3603 12.8566 
0.15 9.47168 13.0077 11.8427 10.1046 11.2767 12.5579 
0.2 9.39232 13.0074 11.0841 9.783 10.3729 11.7793 
0.25 9.0607 13.0053 10.3794 9.78463 10.4584 11.4305 
0.3 8.56986 13.006 10.1085 9.01959 9.74315 11.4424 
0.35 8.40088 13.0049 9.83447 8.92778 9.61471 11.294 
0.4 8.38802 13.0054 9.40301 8.77149 9.40088 10.2877 
0.45 8.08215 13.0047 9.38802 8.51964 10.2726 9.54882 
0.5 8.31741 13.0047 7.59991 8.40939 8.20457 8.75154 
