DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 5.74867 8.78365 5.87488 6.39255 7.06077 7.06056 
100 6.80558 9.89321 6.88925 7.27793 7.9917 8.00919 
150 7.38581 10.6163 7.46909 7.9251 8.56828 8.66954 
200 7.76935 11.2207 7.89327 8.25958 8.8789 8.94847 
250 8.12593 11.5205 8.23796 8.5796 9.20343 9.28482 
300 8.38209 11.8767 8.47047 8.90514 9.56012 9.62211 
350 8.58106 12.0055 8.67746 9.00031 9.66315 9.69927 
400 8.8152 12.3778 8.91656 9.21438 9.85787 9.91687 
450 8.98296 12.4693 9.04931 9.31839 9.99815 10.0438 
500 9.1247 12.5864 9.21757 9.35696 9.9995 10.0395 
