DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 0.75575 0.7392 0.75595 0.76055 0.80975 0.8389 
0.1 0.60006 0.60808 0.59742 0.59284 0.70046 0.71956 
0.15 0.5746 0.559514 0.571857 0.557214 0.676157 0.693186 
0.2 0.55033 0.55032 0.55232 0.55345 0.63806 0.66239 
0.25 0.545033 0.548075 0.539417 0.561867 0.650733 0.668492 
0.3 0.537767 0.5414 0.528287 0.533687 0.587367 0.599307 
0.35 0.530559 0.529894 0.530729 0.532853 0.591076 0.605124 
0.4 0.52494 0.50918 0.52357 0.476785 0.51657 0.538855 
0.45 0.518 0.517423 0.523159 0.512805 0.533264 0.542082 
0.5 0.516776 0.51774 0.520176 0.496756 0.50296 0.504868 
