DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 11.9012 13.0123 13.1572 11.9873 14.7892 14.8926 
0.1 10.2491 13.0095 12.378 10.9418 13.0691 13.1048 
0.15 9.73302 13.0083 11.3359 10.2021 11.4157 12.3465 
0.2 9.35315 13.0067 11.0668 9.58684 10.8933 11.2509 
0.25 9.15987 13.0062 10.5708 9.54303 10.3287 11.5817 
0.3 8.74483 13.0053 10.1712 9.00282 10.0593 11.1338 
0.35 8.45943 13.0053 9.81858 8.87344 9.58496 11.1402 
0.4 8.00562 12.9769 9.35094 8.97728 9.21189 9.86573 
0.45 8.16491 13.0044 9.35755 8.45943 9.15735 9.74987 
0.5 7.76155 13.0053 7.45121 8.01681 8.40088 8.70736 
