DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 5.70677 10.3478 6.38412 7.22863 7.83195 7.84875 
0.2 5.72353 9.70531 6.35675 7.19092 7.83311 7.85026 
0.3 5.71601 9.19244 6.21452 6.91155 7.54569 7.60308 
0.4 5.74013 9.02253 6.13655 6.8673 7.50808 7.58857 
0.5 5.78512 8.73199 6.01517 6.60923 7.22323 7.28604 
0.6 5.79274 8.5463 5.87215 6.6306 7.21057 7.27495 
0.7 5.85456 8.38343 5.72011 6.46686 7.00886 7.08635 
0.8 5.82076 8.22963 5.5163 6.11919 6.67819 6.6974 
0.9 5.84998 8.12186 5.19977 6.0026 6.51124 6.52558 
1 5.88896 7.96062 4.88705 5.63191 6.11678 5.96267 
