DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 14.4467 14.4677 14.4465 14.4455 14.3706 14.3406 
0.1 14.5039 14.4865 14.5082 14.5055 14.3583 14.3377 
0.15 14.4576 14.4673 14.4576 14.4765 14.294 14.2771 
0.2 14.4392 14.4427 14.4413 14.4346 14.3142 14.2855 
0.25 14.4649 14.4566 14.4708 14.4338 14.3073 14.2809 
0.3 14.4556 14.454 14.4654 14.4656 14.3956 14.3807 
0.35 14.4718 14.4703 14.4718 14.4641 14.382 14.365 
0.4 14.4648 14.4807 14.4646 14.5214 14.469 14.4409 
0.45 14.4654 14.4615 14.4571 14.4543 14.4277 14.4159 
0.5 14.4691 14.4704 14.4654 14.4971 14.4884 14.4856 
