DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 0.516764 0.518584 0.51744 0.523968 0.5771 0.59158 
100 0.512774 0.514864 0.507508 0.51302 0.559008 0.568604 
150 0.505772 0.510732 0.510565 0.542808 0.5892 0.605404 
200 0.500817 0.496858 0.505433 0.495203 0.545142 0.556229 
250 0.502409 0.519336 0.508355 0.554184 0.589152 0.607141 
300 0.502974 0.503569 0.501541 0.511492 0.556774 0.576602 
350 0.504934 0.508001 0.500147 0.507134 0.547686 0.563974 
400 0.501977 0.50596 0.502254 0.524161 0.563468 0.571087 
450 0.504787 0.510187 0.506492 0.527148 0.562813 0.57827 
500 0.500934 0.520139 0.499088 0.534463 0.564395 0.575598 
