DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 0.60142 0.58064 0.59774 0.57202 0.6613 0.6693 
100 0.55251 0.54583 0.5483 0.5607 0.64014 0.64218 
150 0.534573 0.512293 0.53164 0.51818 0.61636 0.627987 
200 0.522345 0.49879 0.520795 0.48045 0.57887 0.584675 
250 0.519548 0.50748 0.51778 0.53568 0.619756 0.626624 
300 0.515003 0.543983 0.513597 0.560183 0.63887 0.64826 
350 0.511743 0.513937 0.5142 0.513649 0.601189 0.612037 
400 0.51269 0.506163 0.511625 0.486057 0.587205 0.598283 
450 0.510131 0.519031 0.509898 0.507398 0.600133 0.61346 
500 0.510084 0.500724 0.508738 0.50315 0.594136 0.614934 
