DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 14.4754 14.4743 14.4769 14.473 14.3996 14.3788 
100 14.4556 14.4519 14.4606 14.4568 14.3938 14.379 
150 14.4665 14.4606 14.4592 14.4192 14.3507 14.3296 
200 14.4633 14.4663 14.4558 14.4675 14.3979 14.3831 
250 14.4576 14.4371 14.4499 14.3964 14.3459 14.3207 
300 14.4659 14.4631 14.4675 14.4502 14.3851 14.3592 
350 14.4569 14.4496 14.4647 14.4459 14.3889 14.3671 
400 14.4627 14.4589 14.462 14.4374 14.3828 14.372 
450 14.4532 14.4461 14.4508 14.4256 14.3744 14.3535 
500 14.4602 14.433 14.461 14.4122 14.3695 14.3548 
