DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 0.59542 0.60408 0.60082 0.5992 0.7435 0.7514 
0.2 0.55513 0.54541 0.55151 0.54821 0.66512 0.68785 
0.3 0.524887 0.525827 0.532027 0.528807 0.63518 0.64736 
0.4 0.52274 0.502855 0.51495 0.48497 0.563975 0.59479 
0.5 0.522876 0.549888 0.528812 0.583836 0.63978 0.66046 
0.6 0.51361 0.51361 0.514847 0.524403 0.59634 0.60986 
0.7 0.51342 0.512511 0.513494 0.503774 0.548074 0.561091 
0.8 0.50267 0.507315 0.50938 0.490855 0.521903 0.528922 
0.9 0.510924 0.514204 0.502891 0.511876 0.526496 0.533873 
1 0.510076 0.510786 0.505888 0.518372 0.52636 0.526566 
