DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 0.75355 0.7608 0.75055 0.7523 0.80275 0.8267 
0.1 0.60964 0.66532 0.59614 0.66142 0.72632 0.75874 
0.15 0.585014 0.627014 0.575371 0.635157 0.692757 0.730871 
0.2 0.56622 0.63407 0.55408 0.66611 0.71099 0.72882 
0.25 0.5561 0.622458 0.547583 0.636792 0.678725 0.702858 
0.3 0.545513 0.608733 0.52928 0.654113 0.700327 0.71332 
0.35 0.546947 0.618235 0.538829 0.6799 0.699618 0.723876 
0.4 0.54247 0.60413 0.51921 0.668345 0.690415 0.703645 
0.45 0.542727 0.615264 0.529977 0.721459 0.731423 0.73905 
0.5 0.540772 0.60728 0.510368 0.741176 0.742104 0.743452 
