DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 9.23122 13.0074 10.9046 9.5157 10.0279 11.8681 
0.2 9.47978 13.0053 10.3587 9.50978 11.0485 12.1482 
0.3 8.97154 13.0051 10.7296 9.50184 10.0661 11.1712 
0.4 8.7879 13.0062 10.4868 9.5812 10.0362 11.4979 
0.5 8.87344 13.0046 10.7715 9.57175 10.0861 10.7624 
0.6 8.8392 13.0051 10.363 9.90087 10.5594 11.2456 
0.7 9.36413 13.0049 9.76155 9.98726 10.5793 11.5661 
0.8 8.81698 13.0046 9.40514 10.2633 9.59619 10.5736 
0.9 9.11634 13.0044 8.88264 10.4252 10.0279 10.7305 
1 9.37721 13.0044 7.60733 9.90388 9.99718 9.85953 
