DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.05 8.43012 11.0466 9.95338 8.93007 10.0909 10.4782 
0.1 7.02773 10.3098 8.14066 7.8332 8.62486 9.06931 
0.15 6.53118 10.0101 7.40612 7.42234 8.15461 8.41814 
0.2 6.01577 9.70161 6.75531 6.93435 7.65103 7.8224 
0.25 5.76916 9.45554 6.38885 6.79466 7.54799 7.69088 
0.3 5.42798 9.191 5.8672 6.1548 6.92285 7.02964 
0.35 5.27191 9.1619 5.54507 6.13098 6.92604 7.01072 
0.4 5.02122 8.97347 5.15351 5.94519 6.75399 6.86155 
0.45 4.89726 8.87695 4.86726 5.40624 6.29716 6.35919 
0.5 4.71059 8.6888 4.31101 4.79605 5.67265 5.80803 
