DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 8.36194 13.01 10.5622 8.74483 11.1137 12.334 
100 9.08215 14.8822 11.8368 9.71939 10.9211 13.2552 
150 9.59805 16.0395 12.2837 10.2877 11.1592 13.07 
200 10.1331 17.0182 11.7956 11.1427 11.7599 13.8694 
250 10.8849 17.5089 12.5603 10.9614 12.5682 15.2852 
300 10.7977 18.103 12.6939 11.3476 12.3764 15.3986 
350 10.9233 18.4943 13.7863 11.733 12.6103 14.9866 
400 11.1997 18.8606 13.004 11.7903 12.9103 14.2655 
450 11.1941 19.2209 13.8465 11.7545 12.6662 13.8871 
500 11.7465 19.5271 13.5626 12.0018 12.8404 16.5649 
