DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
0.1 15.0836 15.077 15.0854 15.0815 15.0634 15.0622 
0.2 15.081 15.0727 15.088 15.0757 15.0642 15.0615 
0.3 15.0734 15.0636 15.0755 15.0647 15.0543 15.0509 
0.4 15.0763 15.0656 15.0791 15.0633 15.0563 15.0521 
0.5 15.0731 15.0637 15.0799 15.0541 15.0495 15.0452 
0.6 15.0712 15.0625 15.0778 15.0471 15.0442 15.0431 
0.7 15.0758 15.068 15.0814 15.0497 15.0475 15.0435 
0.8 15.0717 15.0653 15.0777 15.0403 15.0392 15.0392 
0.9 15.0803 15.0752 15.0867 15.048 15.0479 15.0474 
1 15.0739 15.0705 15.0802 15.0374 15.037 15.0365 
