DSCR CRSEQ EJS DRDS I-DRDS-P I-DRDS-D
50 4.91175 10.2707 5.51039 6.29646 7.26674 7.57513 
100 5.92973 11.4962 6.52991 7.08739 8.10784 8.43849 
150 6.51454 12.2826 7.07679 7.85843 8.81829 9.14071 
200 6.92384 13.0424 7.50523 8.29404 9.22578 9.52998 
250 7.24641 13.2548 7.84661 8.46897 9.43659 9.72573 
300 7.53858 13.6707 8.07834 8.65304 9.56796 9.95627 
350 7.73187 13.8798 8.36075 9.01091 9.95226 10.2495 
400 7.92954 14.1126 8.54741 9.36177 10.3402 10.6431 
450 8.07307 14.2894 8.68329 9.39645 10.3363 10.672 
500 8.25017 14.5773 8.86515 9.60082 10.5833 10.9049 
